P_CODE,MMI_MAX,MMI_MEAN
C-JAN-19-010,6.74,6.68
C-JAN-19-011,7.10,7.06
C-JAN-19-012,6.80,6.77
C-JAN-19-013,7.14,7.10
C-JAN-19-014,6.91,6.89
C-JAN-19-015,6.81,6.69
C-JAN-19-016,6.77,6.76
C-JAN-19-017,6.76,6.68
C-JAN-19-018,7.20,7.09
C-JAN-19-019,6.90,6.88
C-JAN-19-020,6.98,6.94
C-JAN-19-021,7.05,7.00
C-JAN-19-022,6.85,6.73
C-JAN-19-023,6.64,6.62
C-JAN-19-024,7.05,7.02
C-JAN-19-025,6.88,6.85
C-JAN-19-026,6.92,6.88
C-JAN-19-027,7.37,7.06
C-JAN-19-028,7.40,7.30
C-JAN-19-029,6.67,6.65
C-JAN-19-030,7.13,7.09
C-JAN-19-031,6.80,6.77
C-JAN-19-032,6.72,6.66
C-JAN-19-033,6.92,6.88
C-JAN-19-034,6.81,6.77
C-JAN-19-035,7.18,7.09
C-JAN-19-036,7.07,7.00
C-JAN-19-037,6.86,6.83
C-JAN-19-038,7.27,7.19
C-JAN-19-039,7.03,6.99
C-JAN-19-040,7.38,7.26
C-JAN-19-041,6.62,6.59
C-JAN-19-042,7.05,7.01
C-JAN-19-043,7.22,7.17
C-JAN-19-044,7.27,7.23
C-JAN-19-045,7.05,6.97
C-JAN-19-046,7.21,7.06
C-JAN-19-047,7.00,6.97
C-JAN-19-048,7.08,7.00
C-JAN-19-049,7.78,7.33
C-JAN-19-050,7.39,7.17
C-JAN-19-051,6.69,6.66
C-JAN-19-052,6.91,6.88
C-JAN-19-053,6.80,6.77
C-JAN-19-054,7.11,7.04
C-JAN-19-055,6.85,6.80
C-JAN-19-056,7.39,7.27
C-JAN-19-057,6.99,6.95
C-JAN-19-058,7.20,7.15
C-JAN-19-059,6.83,6.81
C-JAN-19-060,6.77,6.68
C-JAN-19-061,6.67,6.65
C-JAN-19-062,6.86,6.84
C-JAN-19-063,6.92,6.90
C-JAN-19-064,6.92,6.82
C-JAN-19-065,6.91,6.88
C-JAN-19-066,6.67,6.66
C-JAN-19-067,7.04,7.00
C-JAN-19-068,6.88,6.84
C-JAN-19-069,7.13,7.06
C-JAN-19-070,6.85,6.82
C-JAN-19-071,7.88,7.52
C-JAN-19-072,6.96,6.90
C-JAN-19-073,7.40,7.31
C-JAN-19-074,7.03,6.95
C-JAN-19-075,6.98,6.92
C-JAN-19-076,7.90,7.38
C-JAN-19-077,7.44,7.25
C-JAN-19-078,7.14,7.09
C-JAN-19-079,6.94,6.91
C-JAN-19-080,7.09,7.05
C-JAN-19-081,7.18,7.09
C-JAN-19-082,6.78,6.76
C-JAN-19-083,6.70,6.68
C-JAN-19-084,7.29,7.20
C-JAN-19-085,6.73,6.68
C-JAN-19-086,6.77,6.76
C-JAN-19-087,6.96,6.92
C-JAN-19-088,6.98,6.91
C-JAN-19-089,7.21,7.14
C-JAN-19-090,7.43,7.37
C-JAN-19-091,7.04,6.97
C-JAN-19-092,6.82,6.79
C-JAN-19-093,6.80,6.73
C-JAN-19-094,6.87,6.84
C-JAN-19-095,6.78,6.72
C-JAN-19-096,6.94,6.92
