P_CODE,VDC_NAME,DISTRICT,REGION,MMI_MAX,MMI_MAX,POP_2011,POP_2011,POPDEN_2011,POPDEN_2011,HOUSE_WALL_PERCENT_HIGH_RISK,HOUSE_WALL_PERCENT_HIGH_RISK,HOUSE_ROOF_PERCENT_HIGH_RISK,HOUSE_ROOF_PERCENT_HIGH_RISK,HUMAN_POVERTY_INDEX,HUMAN_POVERTY_INDEX,,,,,,,,,,,,,
C-BAG-23-065,Sunkhani,Sindhupalchok,Central,7.61,8.82,2520,5.68,188.75,5.22,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-066,SyauleBazar,Sindhupalchok,Central,7.60,8.81,3630,5.94,158.44,5.04,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-067,Talramarang,Sindhupalchok,Central,7.58,8.77,3141,5.84,247.19,5.49,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-068,Tatopani,Sindhupalchok,Central,7.31,8.46,6774,6.40,72.52,4.26,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-069,Tauthali,Sindhupalchok,Central,7.54,8.73,2762,5.75,152.46,5.00,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-070,Tekanpur,Sindhupalchok,Central,7.41,8.58,1609,5.35,352.81,5.84,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-071,Thakani,Sindhupalchok,Central,7.59,8.79,3439,5.90,179.73,5.17,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-072,ThampalChhap,Sindhupalchok,Central,7.43,8.61,3510,5.92,254.87,5.52,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-073,Thanpalkot,Sindhupalchok,Central,7.33,8.49,2635,5.71,120.86,4.77,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-074,Thokarpa,Sindhupalchok,Central,7.67,8.88,4373,6.08,251.02,5.50,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-075,ThuloDhading,Sindhupalchok,Central,7.67,8.88,2115,5.55,182.18,5.18,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-076,ThuloPakhar,Sindhupalchok,Central,7.63,8.83,2909,5.78,199.14,5.27,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-077,ThuloSirubari,Sindhupalchok,Central,7.74,8.96,5987,6.31,268.1,5.57,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-078,ThumPakhar,Sindhupalchok,Central,7.52,8.70,3643,5.95,271.02,5.58,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-079,Yamunadanda,Sindhupalchok,Central,7.52,8.71,1507,5.31,191.56,5.23,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-24-001,Anekot,Kavrepalanchok,Central,7.90,9.15,7100,6.43,287.52,5.64,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-002,Baldthali,Kavrepalanchok,Central,8.06,9.34,2695,5.73,282.92,5.62,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-003,Balting,Kavrepalanchok,Central,7.95,9.21,2590,5.70,196.32,5.26,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-004,BaluwapatiDeupur,Kavrepalanchok,Central,7.75,8.98,6023,6.31,295.3,5.66,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-005,BanakhuChor,Kavrepalanchok,Central,8.26,9.57,4554,6.11,123.59,4.80,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-006,BanepaN. P.,Kavrepalanchok,Central,7.99,9.26,24764,7.34,4455.93,8.36,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-007,Bekhsimle,Kavrepalanchok,Central,7.70,8.92,1161,5.12,196.08,5.25,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-008,Bhimkhori,Kavrepalanchok,Central,7.95,9.21,5524,6.25,160.17,5.05,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-009,Bhumlutar,Kavrepalanchok,Central,7.80,9.03,1885,5.47,235.11,5.44,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-010,Birtadeurali,Kavrepalanchok,Central,7.85,9.09,2272,5.60,187.35,5.21,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-011,BoldeFediche,Kavrepalanchok,Central,7.81,9.04,2041,5.53,73.88,4.28,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-012,Budhakhani,Kavrepalanchok,Central,8.08,9.35,3941,6.00,98.94,4.57,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-013,ChalalGaneshsthan,Kavrepalanchok,Central,8.01,9.28,3973,6.01,315.12,5.73,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-014,ChandeniMandan,Kavrepalanchok,Central,7.76,8.99,3265,5.87,343.08,5.81,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-015,Chaubas,Kavrepalanchok,Central,7.69,8.91,2068,5.54,157.04,5.03,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-016,Chyamrangbesi,Kavrepalanchok,Central,8.10,9.38,1629,5.36,63.42,4.13,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-017,ChyasingKharka,Kavrepalanchok,Central,8.00,9.26,2789,5.75,290.62,5.65,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-018,Dandagaun,Kavrepalanchok,Central,8.38,9.70,3104,5.83,648.86,6.45,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-019,DapchaChatraibhanjha,Kavrepalanchok,Central,7.99,9.25,2766,5.75,324.45,5.76,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-020,DaraunePokhari,Kavrepalanchok,Central,7.95,9.21,2684,5.72,310.56,5.71,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-021,DeuvumiBaluwa,Kavrepalanchok,Central,7.97,9.23,7138,6.43,400.8,5.97,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-022,Devitar,Kavrepalanchok,Central,7.83,9.07,2652,5.72,263.69,5.55,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-023,DhulikhelN. P.,Kavrepalanchok,Central,8.06,9.33,14283,6.94,1182.44,7.04,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-024,Dhunkharka,Kavrepalanchok,Central,8.02,9.28,4916,6.16,169,5.11,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-025,DhuseniSiwalaya,Kavrepalanchok,Central,7.70,8.92,1716,5.40,210.48,5.33,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
C-BAG-24-026,Dolalghat,Kavrepalanchok,Central,7.79,9.02,2126,5.56,287.03,5.63,97.66,9.74,31.37,3.18,27.34,3.31,,,,,,,,,,,,,
